Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Total_Hours_Worked,Average_Hours_Per_Day,Max_Hours_Per_Day,Min_Hours_Per_Day
31,0,1,Research & Development,28,4,Technical Degree,934,0,2,Sales Executive,Married,127420,1.0,11,0,10.0,4,10,0,2,2,3,1,4,3,1929h 0min,7h 23min,8h 7min,6h 30min
49,0,1,Research & Development,2,4,Medical,935,1,1,Laboratory Technician,Divorced,42270,4.0,18,0,17.0,3,2,2,2,2,3,4,1,2,2531h 33min,9h 41min,10h 26min,8h 54min
38,0,2,Sales,29,2,Medical,936,0,1,Sales Executive,Single,39170,1.0,15,3,4.0,2,4,3,3,3,3,4,2,3,2040h 3min,7h 48min,8h 41min,6h 30min
47,0,1,Research & Development,1,4,Medical,937,1,3,Laboratory Technician,Divorced,183030,6.0,22,1,29.0,2,3,1,2,2,4,2,2,3,1751h 45min,6h 42min,7h 27min,5h 49min
49,0,1,Research & Development,21,3,Medical,938,1,2,Manufacturing Director,Single,23800,4.0,13,0,23.0,3,8,0,0,1,3,3,3,3,1668h 9min,6h 23min,7h 18min,5h 34min
41,0,1,Research & Development,24,4,Life Sciences,939,0,4,Manager,Single,137260,3.0,12,0,21.0,6,2,0,2,4,3,4,3,3,2861h 31min,10h 57min,11h 43min,10h 7min
20,0,1,Research & Development,1,3,Life Sciences,940,1,1,Sales Representative,Single,47770,1.0,18,1,2.0,3,2,0,2,3,3,4,1,3,2010h 23min,7h 42min,8h 26min,6h 45min
33,0,0,Research & Development,18,2,Medical,941,0,2,Healthcare Representative,Divorced,63850,1.0,13,0,7.0,6,6,1,2,2,3,3,4,3,2475h 30min,9h 29min,10h 16min,8h 33min
36,0,1,Research & Development,2,2,Technical Degree,942,1,3,Sales Executive,Married,199730,6.0,12,0,10.0,2,3,0,2,3,3,1,3,2,1555h 44min,5h 57min,6h 46min,5h 9min
44,0,1,Research & Development,9,3,Technical Degree,943,0,3,Healthcare Representative,Divorced,68610,4.0,12,0,8.0,2,2,2,2,2,3,3,4,3,2226h 5min,8h 31min,9h 24min,7h 44min
23,1,1,Human Resources,6,3,Life Sciences,944,0,3,Laboratory Technician,Single,49690,1.0,12,0,5.0,3,5,1,2,3,3,4,3,3,2111h 52min,8h 5min,8h 56min,7h 14min
38,0,1,Research & Development,11,2,Life Sciences,945,1,1,Sales Executive,Married,198450,7.0,11,1,7.0,3,0,0,0,3,3,4,3,2,1928h 6min,7h 23min,8h 22min,6h 36min
53,0,1,Research & Development,24,3,Life Sciences,946,1,4,Research Director,Married,133200,3.0,11,0,11.0,2,4,1,2,3,3,2,4,3,2092h 39min,8h 1min,8h 48min,7h 18min
48,1,2,Sales,10,2,Marketing,947,1,1,Healthcare Representative,Married,63470,2.0,12,1,19.0,3,9,7,7,1,3,4,3,3,2579h 26min,9h 52min,10h 46min,9h 1min
32,1,1,Sales,1,3,Life Sciences,948,1,2,Research Scientist,Single,27430,1.0,19,1,1.0,2,1,0,0,3,3,4,2,3,1964h 15min,7h 31min,8h 16min,6h 44min
26,0,0,Research & Development,18,2,Medical,949,1,1,Human Resources,Single,108800,1.0,23,1,7.0,5,7,5,7,3,4,4,4,3,1876h 27min,7h 11min,7h 56min,6h 31min
55,0,1,Research & Development,23,1,Life Sciences,950,1,5,Laboratory Technician,Divorced,23420,5.0,11,2,8.0,2,4,1,2,3,3,1,2,3,2008h 58min,7h 41min,8h 35min,6h 48min
34,0,1,Sales,28,3,Life Sciences,951,0,2,Research Scientist,Married,176500,1.0,19,1,15.0,6,15,4,13,1,3,2,4,4,2080h 5min,7h 58min,9h 0min,6h 51min
60,0,1,Sales,17,4,Medical,952,1,1,Manager,Divorced,40250,3.0,13,1,19.0,5,1,0,0,2,3,3,4,4,1627h 9min,6h 14min,6h 51min,5h 14min
33,0,1,Sales,3,3,Life Sciences,953,1,3,Manager,Married,97250,1.0,11,0,14.0,0,14,2,13,3,3,2,2,3,2032h 9min,7h 47min,8h 33min,6h 50min
37,0,2,Research & Development,13,3,Life Sciences,954,1,1,Laboratory Technician,Divorced,119040,1.0,12,1,6.0,4,6,1,3,3,3,3,4,2,1698h 26min,6h 30min,7h 12min,5h 45min
34,0,1,Research & Development,7,2,Life Sciences,955,1,1,Healthcare Representative,Married,21770,1.0,13,0,10.0,5,10,8,7,3,3,2,4,3,1839h 56min,7h 2min,8h 1min,6h 11min
23,1,1,Research & Development,12,2,Medical,956,1,2,Research Scientist,Divorced,75250,1.0,14,2,3.0,2,3,0,2,3,3,3,4,3,2406h 20min,9h 13min,10h 3min,8h 24min
44,0,1,Human Resources,1,3,Life Sciences,957,1,1,Research Scientist,Married,48340,1.0,14,0,9.0,1,8,6,7,4,3,3,4,3,2219h 11min,8h 30min,9h 16min,7h 46min
35,0,2,Research & Development,13,3,Life Sciences,958,1,3,Sales Executive,Single,20420,0.0,16,0,6.0,2,5,1,4,3,3,1,4,4,2129h 52min,8h 9min,8h 56min,7h 29min
43,0,1,Research & Development,25,4,Life Sciences,959,1,2,Sales Executive,Married,22200,1.0,11,0,10.0,2,10,8,8,1,3,4,4,3,2113h 37min,8h 5min,8h 52min,7h 13min
24,0,1,Research & Development,6,3,Life Sciences,960,1,3,Sales Executive,Married,10520,1.0,13,0,5.0,3,5,0,4,3,3,3,3,3,1751h 45min,6h 42min,7h 26min,5h 46min
41,0,1,Sales,6,4,Marketing,961,1,1,Research Scientist,Single,28210,1.0,17,0,10.0,3,10,8,7,3,3,4,3,3,1834h 33min,7h 1min,7h 50min,6h 11min
29,0,1,Research & Development,2,2,Life Sciences,962,1,2,Research Scientist,Married,192370,9.0,11,1,9.0,2,5,1,2,3,3,4,3,3,2069h 31min,7h 55min,8h 37min,7h 3min
36,0,1,Human Resources,1,4,Life Sciences,963,0,3,Research Scientist,Single,41070,3.0,11,1,17.0,2,13,6,7,1,3,3,4,2,1640h 29min,6h 17min,7h 35min,5h 26min
45,0,0,Sales,2,3,Life Sciences,964,0,2,Manufacturing Director,Married,83960,3.0,15,2,25.0,3,23,14,4,2,3,3,3,2,1642h 49min,6h 17min,7h 9min,5h 23min
24,1,1,Sales,6,2,Medical,965,0,2,Manager,Married,20070,1.0,12,0,1.0,2,1,0,0,2,3,4,3,3,1667h 39min,6h 23min,7h 12min,5h 42min
47,1,2,Research & Development,1,3,Medical,966,0,2,Sales Executive,Married,196270,7.0,11,2,25.0,1,23,14,10,3,3,3,3,1,1773h 10min,6h 47min,7h 39min,6h 1min
26,0,1,Research & Development,9,1,Medical,967,1,1,Sales Executive,Married,106860,1.0,14,1,3.0,2,3,0,2,3,3,4,3,4,2014h 6min,7h 43min,8h 33min,7h 2min
45,0,1,Research & Development,1,4,Life Sciences,968,1,1,Research Director,Single,29420,1.0,22,1,21.0,4,21,8,6,3,4,4,2,3,1717h 0min,6h 34min,7h 21min,5h 44min
32,0,2,Sales,1,1,Marketing,969,1,2,Laboratory Technician,Married,88580,6.0,16,1,10.0,2,5,1,3,3,3,1,3,2,1803h 15min,6h 54min,7h 39min,6h 18min
31,0,1,Research & Development,14,2,Life Sciences,970,1,1,Sales Executive,Married,167560,1.0,11,2,6.0,5,5,0,3,3,3,2,3,4,1874h 46min,7h 10min,8h 5min,6h 24min
41,0,0,Sales,2,2,Medical,971,1,2,Research Scientist,Married,107980,6.0,14,2,10.0,5,3,1,2,1,3,3,2,3,2014h 35min,7h 43min,8h 28min,6h 46min
40,0,1,Research & Development,22,2,Technical Degree,972,1,1,Healthcare Representative,Married,23230,2.0,16,1,18.0,2,1,0,0,3,3,2,1,3,2553h 43min,9h 47min,10h 26min,9h 3min
24,0,1,Research & Development,3,3,Life Sciences,973,0,1,Research Scientist,Divorced,14160,1.0,15,1,6.0,3,6,1,2,2,3,2,1,4,1564h 11min,5h 59min,6h 45min,5h 5min
46,0,1,Research & Development,6,3,Medical,974,1,4,Sales Executive,Single,46150,6.0,12,0,19.0,3,10,0,9,2,3,3,2,3,1976h 39min,7h 34min,8h 26min,6h 44min
35,0,1,Sales,8,4,Life Sciences,975,1,1,Laboratory Technician,Married,24610,2.0,20,1,17.0,4,7,0,7,3,4,4,3,3,1926h 21min,7h 22min,8h 11min,6h 40min
30,0,1,Sales,9,4,Marketing,976,1,1,Laboratory Technician,Married,87220,1.0,17,1,10.0,3,10,0,8,3,3,2,4,2,1898h 35min,7h 16min,8h 1min,6h 19min
47,0,0,Research & Development,3,2,Life Sciences,977,0,2,Sales Executive,Married,39550,7.0,12,1,4.0,5,1,0,0,3,3,3,2,1,2007h 0min,7h 41min,8h 28min,7h 0min
46,0,1,Research & Development,1,4,Technical Degree,978,0,3,Sales Executive,Divorced,99570,4.0,20,0,13.0,1,10,0,3,3,4,3,4,2,2557h 37min,9h 47min,10h 54min,8h 50min
36,1,1,Research & Development,1,3,Medical,979,1,2,Manufacturing Director,Divorced,33760,5.0,20,0,16.0,3,2,2,2,3,4,2,1,3,2709h 35min,10h 22min,11h 9min,9h 43min
32,1,1,Research & Development,26,3,Medical,980,0,2,Research Director,Single,88230,6.0,13,2,10.0,3,0,0,0,3,3,1,2,3,1829h 10min,7h 0min,7h 46min,6h 15min
23,0,1,Sales,6,4,Life Sciences,981,1,3,Manufacturing Director,Single,103220,1.0,14,2,3.0,2,3,1,2,3,3,3,2,1,1572h 8min,6h 1min,6h 55min,5h 4min
31,0,2,Sales,3,3,Marketing,982,1,2,Sales Executive,Single,46210,2.0,18,1,9.0,3,5,1,4,3,3,4,4,2,1688h 27min,6h 28min,7h 6min,5h 18min
39,0,0,Research & Development,3,3,Life Sciences,983,0,2,Manufacturing Director,Married,109760,1.0,11,0,9.0,3,9,5,8,2,3,4,4,3,2662h 15min,10h 12min,10h 56min,9h 28min
32,0,1,Research & Development,6,3,Technical Degree,984,1,1,Research Scientist,Married,36600,3.0,11,2,10.0,0,4,0,2,2,3,4,3,1,1983h 19min,7h 35min,8h 24min,6h 31min
40,0,1,Sales,6,3,Life Sciences,985,1,3,Manufacturing Director,Single,104820,1.0,11,1,21.0,6,21,12,8,2,3,2,2,2,2063h 7min,7h 54min,8h 39min,7h 6min
45,0,1,Research & Development,19,4,Medical,986,1,1,Sales Representative,Married,71190,4.0,15,0,9.0,2,5,0,3,3,3,3,3,4,2031h 58min,7h 47min,8h 50min,6h 56min
30,0,2,Sales,9,3,Life Sciences,987,1,1,Research Director,Single,95820,0.0,12,1,10.0,2,9,0,7,3,3,4,1,3,1624h 10min,6h 13min,7h 1min,5h 16min
24,0,2,Sales,3,4,Marketing,988,1,1,Sales Executive,Married,45080,0.0,11,1,3.0,5,2,2,1,3,3,1,4,3,1555h 43min,5h 57min,6h 48min,4h 46min
30,1,2,Research & Development,10,3,Life Sciences,989,0,1,Human Resources,Divorced,22070,6.0,14,0,6.0,4,4,1,2,3,3,3,4,2,1753h 0min,6h 42min,7h 40min,5h 47min
31,0,1,Research & Development,3,2,Life Sciences,990,1,3,Laboratory Technician,Married,77560,1.0,15,2,6.0,3,5,0,2,4,3,1,3,3,1984h 15min,7h 36min,8h 20min,6h 53min
27,0,1,Sales,3,3,Life Sciences,991,1,1,Manager,Single,66940,1.0,13,1,6.0,2,6,1,4,2,3,3,4,2,1645h 50min,6h 18min,7h 6min,5h 17min
29,1,1,Sales,4,3,Marketing,992,1,5,Research Scientist,Single,36910,1.0,13,0,2.0,3,2,2,2,3,3,2,2,3,1775h 27min,6h 48min,7h 34min,5h 56min
29,0,2,Research & Development,8,4,Life Sciences,993,0,1,Sales Executive,Single,23770,8.0,21,1,10.0,2,3,0,2,3,4,4,3,4,2298h 9min,8h 48min,9h 26min,7h 59min
30,0,1,Sales,7,3,Life Sciences,994,1,3,Sales Executive,Divorced,23130,2.0,11,0,12.0,5,7,1,7,3,3,3,1,3,2095h 52min,8h 1min,8h 54min,7h 12min
34,0,1,Research & Development,1,2,Medical,995,0,2,Healthcare Representative,Married,176650,0.0,11,0,6.0,5,5,1,2,2,3,4,4,3,2592h 7min,9h 55min,10h 45min,9h 11min
33,0,0,Research & Development,2,4,Medical,996,1,1,Sales Representative,Single,25960,8.0,14,1,13.0,4,11,1,7,3,3,4,2,2,1927h 8min,7h 23min,8h 11min,6h 43min
49,0,1,Sales,3,4,Marketing,997,1,1,Sales Executive,Single,47280,3.0,11,1,8.0,4,5,0,4,3,3,4,4,4,2010h 39min,7h 42min,8h 39min,6h 45min
33,1,1,Research & Development,10,3,Life Sciences,998,1,1,Sales Executive,Single,43020,2.0,13,0,11.0,3,0,0,0,1,3,1,1,2,2162h 24min,8h 17min,9h 0min,7h 30min
38,0,2,Research & Development,28,3,Medical,999,1,1,Healthcare Representative,Married,29790,4.0,12,1,9.0,3,6,0,5,3,3,3,2,2,2055h 54min,7h 52min,8h 50min,7h 5min
31,1,1,Human Resources,9,4,Human Resources,1000,1,2,Laboratory Technician,Married,168850,2.0,14,2,10.0,2,1,0,0,3,3,1,3,3,1615h 10min,6h 11min,7h 0min,5h 29min
29,0,1,Research & Development,3,4,Other,1001,0,2,Sales Representative,Divorced,55930,1.0,13,1,1.0,3,1,0,0,3,3,4,1,3,1641h 28min,6h 17min,7h 0min,5h 30min
30,0,1,Research & Development,2,1,Medical,1002,1,1,Sales Representative,Married,104450,3.0,18,1,10.0,3,7,1,7,3,3,3,3,3,1782h 16min,6h 49min,7h 47min,6h 2min
32,0,0,Research & Development,10,4,Life Sciences,1003,0,1,Laboratory Technician,Single,87400,2.0,11,1,12.0,2,7,0,7,3,3,2,2,3,1572h 10min,6h 1min,6h 53min,5h 15min
38,0,1,Research & Development,8,2,Technical Degree,1004,0,1,Manufacturing Director,Married,25140,3.0,11,0,15.0,2,1,1,0,2,3,2,4,3,2353h 50min,9h 1min,9h 43min,8h 18min
43,1,2,Research & Development,1,4,Other,1005,1,3,Sales Executive,Married,76550,9.0,12,1,6.0,3,1,0,0,3,3,3,3,3,2194h 18min,8h 24min,9h 1min,7h 31min
42,0,1,Human Resources,1,3,Other,1006,0,1,Healthcare Representative,Divorced,174650,8.0,13,1,7.0,3,5,0,4,3,3,2,2,2,1743h 14min,6h 40min,7h 30min,5h 54min
55,0,1,Research & Development,3,2,Life Sciences,1007,0,1,Sales Executive,Married,73510,8.0,20,1,34.0,3,1,0,0,3,4,3,1,3,1985h 53min,7h 36min,8h 26min,6h 49min
33,0,0,Research & Development,14,3,Other,1008,1,1,Research Scientist,Divorced,108200,5.0,12,0,11.0,2,9,1,7,3,3,4,2,2,1754h 35min,6h 43min,7h 30min,5h 59min
41,0,1,Research & Development,5,3,Medical,1009,1,1,Sales Representative,Divorced,121690,1.0,19,0,5.0,2,5,0,4,3,3,3,1,3,1633h 49min,6h 15min,6h 59min,5h 29min
34,0,0,Research & Development,7,4,Medical,1010,0,1,Research Scientist,Divorced,196260,1.0,21,0,15.0,5,15,0,7,2,4,4,3,3,2132h 31min,8h 10min,9h 11min,7h 21min
53,0,0,Research & Development,10,4,Medical,1011,1,2,Healthcare Representative,Married,20700,4.0,13,2,27.0,2,3,0,2,4,3,1,3,2,2116h 43min,8h 6min,8h 52min,7h 11min
43,0,1,Sales,16,2,Marketing,1012,0,1,Laboratory Technician,Single,67820,0.0,16,1,10.0,2,9,1,8,3,3,2,4,3,1589h 34min,6h 5min,6h 50min,5h 26min
34,0,1,Sales,10,2,Life Sciences,1013,0,5,Sales Executive,Single,77790,5.0,12,1,6.0,2,2,2,2,3,3,4,4,3,2010h 56min,7h 42min,8h 33min,6h 55min
21,1,1,Sales,1,2,Marketing,1014,1,5,Healthcare Representative,Single,27910,1.0,14,0,1.0,3,1,1,0,4,3,2,2,3,1953h 6min,7h 28min,8h 13min,6h 32min
38,0,1,Research & Development,8,2,Life Sciences,1015,0,2,Sales Executive,Married,32010,1.0,11,1,5.0,3,5,0,4,2,3,4,3,3,1664h 14min,6h 22min,7h 15min,5h 20min
22,1,1,Research & Development,1,3,Other,1016,1,4,Research Scientist,Married,49680,1.0,14,0,1.0,3,1,0,0,3,3,3,1,3,2315h 50min,8h 52min,9h 39min,8h 7min
31,0,1,Research & Development,8,5,Life Sciences,1017,1,5,Sales Executive,Married,131200,1.0,12,2,13.0,6,12,5,7,2,3,1,4,3,1904h 41min,7h 17min,8h 7min,6h 36min
51,0,1,Research & Development,1,4,Life Sciences,1018,0,1,Manager,Married,40330,2.0,14,0,15.0,2,2,2,2,3,3,1,3,3,1755h 8min,6h 43min,7h 29min,5h 53min
37,0,1,Research & Development,24,1,Life Sciences,1019,1,2,Sales Executive,Married,32910,1.0,16,3,5.0,2,5,0,3,2,3,2,2,3,2080h 35min,7h 58min,8h 48min,7h 15min
46,0,1,Sales,3,4,Marketing,1020,0,1,Sales Representative,Divorced,42720,7.0,13,0,24.0,3,2,2,2,4,3,3,4,3,2614h 31min,10h 1min,10h 41min,9h 9min
36,0,1,Research & Development,27,3,Technical Degree,1021,0,4,Research Scientist,Married,50560,7.0,12,0,15.0,2,12,5,7,2,3,4,1,3,2491h 56min,9h 32min,10h 54min,8h 50min
44,1,2,Sales,10,4,Life Sciences,1022,1,1,Research Scientist,Divorced,28440,1.0,12,0,6.0,2,5,2,3,4,3,3,2,2,2423h 50min,9h 17min,10h 7min,8h 33min
37,0,1,Research & Development,19,2,Technical Degree,1023,1,2,Sales Executive,Divorced,27030,2.0,14,0,19.0,2,10,4,7,3,3,3,2,2,1598h 58min,6h 7min,7h 0min,5h 20min
35,1,1,Research & Development,15,4,Life Sciences,1024,1,2,Research Scientist,Single,19040,1.0,22,1,10.0,4,10,7,7,3,4,3,4,3,2243h 7min,8h 35min,9h 28min,7h 44min
33,0,1,Research & Development,8,5,Medical,1025,1,2,Laboratory Technician,Married,82240,6.0,19,0,14.0,3,10,7,6,3,3,4,1,3,2089h 30min,8h 0min,8h 52min,6h 58min
28,0,1,Sales,9,3,Medical,1026,0,2,Sales Executive,Married,47660,1.0,12,0,5.0,3,5,0,3,3,3,3,4,4,1931h 17min,7h 23min,8h 13min,6h 43min
39,0,1,Sales,3,4,Marketing,1027,0,2,Laboratory Technician,Single,26100,7.0,12,0,9.0,2,4,2,2,2,3,3,3,3,1799h 8min,6h 53min,7h 57min,6h 14min
46,0,0,Research & Development,9,2,Life Sciences,1028,1,2,Manufacturing Director,Single,57310,8.0,17,0,6.0,2,2,2,2,3,3,2,2,3,1746h 28min,6h 41min,7h 28min,5h 56min
40,0,1,Research & Development,2,2,Medical,1029,1,1,Research Director,Married,25390,4.0,12,1,7.0,3,4,0,2,3,3,3,1,2,1718h 46min,6h 35min,7h 25min,5h 44min
42,0,1,Research & Development,7,4,Other,1030,0,2,Laboratory Technician,Married,57140,5.0,11,0,10.0,2,0,0,0,3,3,2,1,2,1723h 21min,6h 36min,7h 28min,5h 36min
35,0,0,Sales,10,1,Life Sciences,1031,0,2,Research Director,Divorced,43230,2.0,18,3,15.0,3,7,1,7,3,3,2,4,3,1741h 42min,6h 40min,7h 23min,5h 53min
38,0,0,Sales,6,4,Marketing,1032,1,3,Sales Executive,Divorced,73360,5.0,11,0,13.0,3,11,3,8,3,3,1,2,3,2036h 57min,7h 48min,8h 33min,6h 54min
34,1,2,Research & Development,2,1,Life Sciences,1033,1,1,Manufacturing Director,Married,134990,4.0,23,2,11.0,2,7,0,7,4,4,4,1,2,2062h 20min,7h 54min,8h 48min,6h 47min
37,1,1,Research & Development,24,3,Life Sciences,1034,1,1,Laboratory Technician,Single,137580,1.0,11,1,10.0,5,10,0,8,3,3,4,1,1,1619h 15min,6h 12min,7h 21min,5h 24min
39,0,2,Research & Development,2,1,Medical,1035,1,2,Healthcare Representative,Divorced,51550,2.0,18,1,7.0,3,2,2,2,2,3,3,4,3,1618h 31min,6h 12min,6h 57min,5h 8min
43,0,0,Human Resources,8,5,Medical,1036,0,3,Sales Executive,Single,22580,4.0,18,0,7.0,2,3,1,2,3,3,1,3,2,1935h 59min,7h 25min,8h 28min,6h 34min
41,0,1,Research & Development,3,3,Life Sciences,1037,1,3,Research Scientist,Single,35970,3.0,13,1,11.0,2,3,1,2,1,3,2,2,1,2035h 32min,7h 47min,8h 37min,6h 58min
41,0,1,Research & Development,1,1,Technical Degree,1038,1,3,Laboratory Technician,Divorced,25150,0.0,18,0,23.0,2,22,13,5,2,3,3,3,4,2694h 52min,10h 19min,11h 7min,9h 28min
30,0,1,Sales,26,3,Marketing,1039,0,2,Manager,Single,44200,9.0,11,0,9.0,3,7,0,2,3,3,1,3,3,1847h 59min,7h 4min,7h 54min,6h 21min
26,1,1,Human Resources,2,1,Technical Degree,1040,0,3,Sales Executive,Married,65780,0.0,15,2,6.0,3,5,1,4,2,3,4,2,3,2269h 52min,8h 41min,9h 18min,7h 58min
46,1,1,Research & Development,10,3,Medical,1041,1,1,Sales Executive,Married,44220,4.0,11,1,13.0,2,9,3,7,3,3,4,2,4,2078h 28min,7h 57min,8h 43min,7h 2min
40,0,1,Sales,27,2,Medical,1042,0,3,Sales Executive,Divorced,102740,4.0,18,0,12.0,3,5,0,3,3,3,3,4,3,1720h 0min,6h 35min,7h 18min,5h 38min
34,0,1,Research & Development,2,3,Life Sciences,1043,1,2,Laboratory Technician,Married,53430,1.0,14,0,10.0,5,10,4,8,2,3,2,3,3,1928h 14min,7h 23min,8h 9min,6h 31min
58,0,0,Research & Development,2,4,Medical,1044,1,1,Laboratory Technician,Divorced,23760,4.0,12,1,37.0,3,16,14,14,3,3,2,2,2,1723h 40min,6h 36min,7h 26min,5h 54min
35,0,1,Research & Development,8,1,Technical Degree,1045,0,3,Manufacturing Director,Married,53460,0.0,14,0,6.0,3,5,0,3,2,3,2,3,4,1932h 58min,7h 24min,8h 13min,6h 33min
47,0,1,Research & Development,19,5,Medical,1046,0,2,Research Scientist,Divorced,28270,8.0,14,1,28.0,3,22,14,10,3,3,3,2,3,2795h 5min,10h 42min,11h 33min,10h 1min
40,0,1,Research & Development,1,4,Life Sciences,1047,1,2,Manager,Divorced,199430,2.0,13,1,15.0,3,7,7,7,3,3,2,1,3,1887h 30min,7h 13min,8h 11min,6h 30min
54,0,1,Sales,27,4,Medical,1048,1,1,Research Scientist,Married,31310,4.0,14,0,14.0,3,7,1,7,2,3,4,4,2,1847h 30min,7h 4min,7h 50min,6h 5min
31,0,2,Sales,8,4,Other,1049,0,3,Manufacturing Director,Married,25520,2.0,18,0,9.0,2,3,2,2,3,3,1,1,3,1955h 10min,7h 29min,8h 30min,6h 38min
28,0,1,Sales,1,2,Life Sciences,1050,1,3,Manager,Married,44770,1.0,15,0,3.0,6,3,1,2,3,3,3,1,3,1971h 39min,7h 33min,8h 22min,6h 45min
38,0,1,Research & Development,19,3,Medical,1051,0,2,Manufacturing Director,Married,64740,2.0,13,2,20.0,3,4,0,3,1,3,2,4,2,2483h 16min,9h 30min,10h 22min,8h 43min
26,0,1,Sales,8,3,Marketing,1052,0,1,Healthcare Representative,Single,30330,1.0,12,0,5.0,2,5,1,2,2,3,3,4,3,1598h 9min,6h 7min,6h 57min,5h 12min
58,0,2,Research & Development,10,4,Technical Degree,1053,0,1,Sales Representative,Married,29360,2.0,13,1,23.0,3,2,2,2,3,3,1,3,3,2505h 22min,9h 35min,10h 31min,8h 56min
18,0,0,Research & Development,2,3,Life Sciences,1054,1,3,Sales Representative,Single,186060,1.0,24,2,0.0,4,0,0,0,3,4,2,3,1,1998h 18min,7h 39min,8h 26min,6h 39min
31,1,1,Research & Development,2,3,Life Sciences,1055,1,3,Laboratory Technician,Married,21680,0.0,14,1,2.0,2,1,0,0,3,3,4,1,3,1596h 3min,6h 6min,7h 0min,5h 15min
29,1,1,Research & Development,8,2,Medical,1056,1,1,Manager,Divorced,28530,4.0,14,1,4.0,5,2,2,0,2,3,1,1,3,2268h 46min,8h 41min,9h 41min,7h 41min
45,0,0,Sales,1,4,Technical Degree,1057,1,1,Research Scientist,Married,170480,4.0,15,0,10.0,3,8,5,7,2,3,3,3,4,1880h 5min,7h 12min,7h 51min,6h 34min
36,0,1,Sales,2,3,Technical Degree,1058,0,5,Laboratory Technician,Married,22900,4.0,11,0,15.0,5,1,0,0,3,3,4,2,3,2780h 46min,10h 39min,11h 24min,9h 39min
43,0,2,Sales,8,3,Medical,1059,1,1,Research Director,Married,36000,1.0,23,0,7.0,2,7,7,7,3,4,1,4,3,1823h 24min,6h 59min,7h 55min,6h 15min
27,0,2,Sales,8,4,Life Sciences,1060,1,5,Research Scientist,Single,21070,0.0,13,0,6.0,2,5,0,2,3,3,4,4,2,2663h 58min,10h 12min,10h 56min,9h 28min
29,0,2,Research & Development,6,2,Medical,1061,1,1,Human Resources,Married,41150,1.0,11,0,11.0,1,11,3,10,3,3,4,4,4,2008h 14min,7h 41min,8h 20min,6h 51min
32,0,2,Sales,9,4,Life Sciences,1062,1,4,Sales Executive,Single,43270,8.0,13,0,4.0,4,0,0,0,3,3,4,4,4,1984h 15min,7h 36min,8h 31min,6h 41min
42,0,0,Research & Development,11,3,Medical,1063,1,1,Manager,Married,178560,3.0,18,0,10.0,2,6,3,3,3,3,3,3,2,1694h 11min,6h 29min,7h 13min,5h 45min
47,0,1,Sales,2,2,Life Sciences,1064,0,5,Manager,Single,31960,4.0,14,1,7.0,3,2,2,0,2,3,2,3,3,1592h 1min,6h 5min,7h 8min,5h 17min
46,0,1,Human Resources,1,3,Life Sciences,1065,0,1,Laboratory Technician,Divorced,190810,3.0,21,0,12.0,2,9,4,7,3,4,4,4,2,1889h 16min,7h 14min,7h 55min,6h 10min
28,0,0,Research & Development,7,3,Life Sciences,1066,1,1,Sales Executive,Divorced,89660,1.0,16,1,3.0,3,3,2,2,2,3,3,4,3,2007h 48min,7h 41min,8h 33min,6h 48min
29,0,1,Research & Development,16,3,Medical,1067,0,1,Manufacturing Director,Divorced,22100,8.0,11,1,11.0,4,7,1,6,3,3,4,3,3,2087h 39min,7h 59min,8h 46min,7h 4min
42,0,1,Sales,2,4,Medical,1068,0,2,Research Director,Single,45390,4.0,17,1,8.0,5,0,0,0,3,3,4,3,3,1720h 31min,6h 35min,7h 18min,5h 42min
32,1,1,Research & Development,1,1,Medical,1069,1,2,Laboratory Technician,Single,27410,7.0,11,0,7.0,3,2,2,2,3,3,3,2,2,2718h 37min,10h 24min,11h 7min,9h 30min
46,0,1,Research & Development,23,1,Life Sciences,1070,1,2,Laboratory Technician,Divorced,34910,2.0,14,0,25.0,0,19,2,8,3,3,1,1,3,2055h 18min,7h 52min,8h 43min,7h 11min
27,0,1,Sales,2,3,Life Sciences,1071,0,5,Research Scientist,Married,45410,1.0,14,2,9.0,4,9,5,8,4,3,2,3,3,1848h 58min,7h 5min,7h 47min,6h 16min
29,0,1,Research & Development,1,2,Medical,1072,1,3,Sales Executive,Married,26780,1.0,25,1,1.0,3,1,0,0,3,4,4,2,3,2084h 28min,7h 59min,8h 43min,7h 3min
43,0,1,Research & Development,1,3,Life Sciences,1073,1,1,Manufacturing Director,Married,73790,7.0,13,2,21.0,3,16,6,14,2,3,1,3,3,1645h 13min,6h 18min,7h 11min,5h 13min
48,0,1,Research & Development,2,3,Life Sciences,1074,0,2,Manager,Married,62720,4.0,14,0,29.0,3,22,12,9,2,3,4,2,3,1593h 5min,6h 6min,6h 51min,5h 4min
29,1,2,Research & Development,13,2,Life Sciences,1075,0,1,Laboratory Technician,Single,52200,1.0,17,0,1.0,3,1,1,0,2,3,4,4,2,2242h 16min,8h 35min,9h 28min,7h 45min
